Component,Filename,File Format,HTAN Parent Data File ID,HTAN Data File ID,Data Category,Matrix Type,Linked Matrices,Cell Median Number Reads,Cell Median Number Genes,Cell Total,scRNAseq Workflow Type,scRNAseq Workflow Parameters Description,Workflow Link,Workflow Version,entityId,Id,Workflow End Datetime,Workflow Start Datetime
ScRNA-seqLevel3,single_cell_RNAseq_level_3/3620as1.csv,csv,HTA11_347_200000101112111,HTA11_347_200000101113111,Gene Expression Quantification,Raw Counts,,9176.0,2849.0,999,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521628,794ac446-4434-40c2-ba37-3c7d1314093e,0/0/0000,0/0/0000
ScRNA-seqLevel3,single_cell_RNAseq_level_3/3620as2.csv,csv,HTA11_78_200000101112111,HTA11_78_200000101113111,Gene Expression Quantification,Raw Counts,,5054.0,1896.0,1186,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521635,e2064be8-393a-4981-972c-2c73889791a8,0/0/0000,0/0/0000
ScRNA-seqLevel3,single_cell_RNAseq_level_3/3803as1.csv,csv,HTA11_696_200000201112111,HTA11_696_200000201113111,Gene Expression Quantification,Raw Counts,,6112.0,2293.0,819,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521725,2b942a2a-945b-4fc7-b7ae-3529068b379c,0/0/0000,0/0/0000
ScRNA-seqLevel3,single_cell_RNAseq_level_3/3803as2.csv,csv,HTA11_696_200000202112111,HTA11_696_200000202113111,Gene Expression Quantification,Raw Counts,,6444.0,2324.0,919,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521726,912ea32b-8e17-484d-9775-75a9565212ce,0/0/0000,0/0/0000
ScRNA-seqLevel3,single_cell_RNAseq_level_3/3882as1.csv,csv,HTA11_83_200000101112111,HTA11_83_200000101113111,Gene Expression Quantification,Raw Counts,,10910.0,2689.0,719,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521727,034225c5-59e0-4adb-af24-fcfad8aedf81,0/0/0000,0/0/0000
ScRNA-seqLevel3,single_cell_RNAseq_level_3/3882as2.csv,csv,HTA11_83_200000201112111,HTA11_83_200000201113111,Gene Expression Quantification,Raw Counts,,10878.0,3272.5,686,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521728,d3d78005-a423-4bc2-8c9f-a6e8e3f4fb53,0/0/0000,0/0/0000
ScRNA-seqLevel3,single_cell_RNAseq_level_3/3882as3.csv,csv,HTA11_83_200000202112111,HTA11_83_200000202113111,Gene Expression Quantification,Raw Counts,,12107.5,3122.5,586,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521729,d97b98d8-46b4-4d17-8581-89033f3aaf13,0/0/0000,0/0/0000
ScRNA-seqLevel3,single_cell_RNAseq_level_3/3882as4.csv,csv,HTA11_78_200000101112211,HTA11_78_200000101113211,Gene Expression Quantification,Raw Counts,,6722.0,2312.5,628,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521730,7300ad97-135b-4503-90fb-6cf21f6b413c,0/0/0000,0/0/0000
ScRNA-seqLevel3,single_cell_RNAseq_level_3/3882as5.csv,csv,HTA11_78_200000201112111,HTA11_78_200000201113111,Gene Expression Quantification,Raw Counts,,11968.5,2800.0,686,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521731,0d5517a2-ffa4-4006-a28f-00ea42ec9a41,0/0/0000,0/0/0000
ScRNA-seqLevel3,single_cell_RNAseq_level_3/3906as1.csv,csv,HTA11_347_200000101112211,HTA11_347_200000101113211,Gene Expression Quantification,Raw Counts,,12590.0,3571.0,1091,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521732,79d092ef-0eb6-4794-84d7-dfd8f4e62cf8,0/0/0000,0/0/0000
