"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_name"
"1","ENSG00000078900",2.60244762573518e-07,26.2416346430955,0.026,0.004,0.00769725934263695,"TP73"
"2","ENSG00000150893",3.90201387420714e-09,18.7787944843812,0.022,0.001,0.000115409864357425,"FREM2"
"3","ENSG00000115828",1.4783213400091e-07,17.4898450274415,0.044,0.013,0.00437243102734493,"QPCT"
"4","ENSG00000108684",2.912349568607e-08,13.1739685542812,0.029,0.004,0.000861385631906891,"ASIC2"
"5","ENSG00000177414",2.78332408084458e-52,11.8641927657139,0.143,0.005,8.23223763391403e-48,"UBE2U"
"6","ENSG00000149428",1.18537850489111e-08,11.4352410554967,0.037,0.007,0.000350599400391643,"HYOU1"
"7","ENSG00000151208",3.36452184953797e-09,11.382906188318,0.043,0.009,9.95124627437846e-05,"DLG5"
"8","ENSG00000183682",1.56404909583664e-10,11.3638082264004,0.056,0.014,4.62598801075604e-06,"BMP8A"
"9","ENSG00000244437",2.75968213316792e-10,10.3613769315309,0.036,0.005,8.16231184527075e-06,"IGKV3-15"
"10","ENSG00000100290",2.77074498749874e-08,8.61728732793283,0.031,0.005,0.000819503244952503,"BIK"
"11","ENSG00000107758",4.78693069086141e-08,7.52474482592185,0.199,0.117,0.00141583049043608,"PPP3CB"
"12","ENSG00000126768",4.91373637400232e-08,6.23877964120281,0.086,0.037,0.00145333580733867,"TIMM17B"
"13","ENSG00000116128",5.87806500091546e-08,5.686873550336,0.085,0.037,0.00173855528532077,"BCL9"
"14","ENSG00000141542",9.54495208863385e-08,5.62027944604301,0.063,0.024,0.00282311047925523,"RAB40B"
"15","ENSG00000211640",1.08992475980699e-20,5.38952513302231,0.129,0.036,3.22367046208113e-16,"IGLV6-57"
"16","ENSG00000198788",2.25139186975926e-13,5.10750451644997,0.147,0.065,6.65894173318697e-09,"MUC2"
"17","ENSG00000211598",1.55129856749086e-08,4.69467823853518,0.056,0.017,0.000458827577306773,"IGKV4-1"
"18","ENSG00000166794",1.39963591253633e-11,4.67368023366725,0.063,0.016,4.13970313850869e-07,"PPIB"
"19","ENSG00000248898",5.51104633635258e-09,4.66635143785554,0.055,0.016,0.0001630002174903,"PELO-AS1"
"20","ENSG00000111886",2.71575328700392e-09,4.62099285166614,0.049,0.012,8.03238349697149e-05,"GABRR2"
"21","ENSG00000132604",1.48233496831608e-95,4.5202470980444,0.436,0.113,4.38430213578847e-91,"TERF2"
"22","ENSG00000175471",5.63375214857637e-115,4.41833026174253,0.458,0.111,1.66629487298443e-110,"MCTP1"
"23","ENSG00000175826",2.4273952080114e-07,4.13317156065148,0.043,0.013,0.00717950680673533,"CTDNEP1"
"24","ENSG00000103485",1.82356052412442e-14,4.12135666766617,0.123,0.045,5.39354496220278e-10,"QPRT"
"25","ENSG00000225377",1.36573042181829e-13,4.02275022338072,0.062,0.012,4.03942086861196e-09,"NRSN2-AS1"
"26","ENSG00000142459",2.5065910756529e-07,4.00613777353396,0.07,0.029,0.00741374442445859,"EVI5L"
"27","ENSG00000070610",2.31711011083161e-08,3.92851635653456,0.068,0.025,0.000685331657480666,"GBA2"
"28","ENSG00000166126",1.054340547331e-07,3.79538887339952,0.043,0.012,0.0031184230368409,"AMN"
"29","ENSG00000121671",2.50796473773101e-08,3.79532562510587,0.1,0.045,0.000741780730478702,"CRY2"
"30","ENSG00000150275",3.16936028941058e-106,3.73892398604742,0.405,0.066,9.37401692798967e-102,"PCDH15"
"31","ENSG00000130702",1.55684626358092e-08,3.69999672550027,0.094,0.041,0.000460468419379328,"LAMA5"
"32","ENSG00000184985",3.92348505657918e-11,3.66225032064107,0.09,0.033,1.16044917518442e-06,"SORCS2"
"33","ENSG00000145700",7.31634942789497e-100,3.54726079460812,0.329,0.036,2.1639566702885e-95,"ANKRD31"
"34","ENSG00000101194",4.26194256311804e-14,3.5212737753,0.092,0.027,1.26055475189342e-09,"SLC17A9"
"35","ENSG00000100448",6.19953186808342e-08,3.47793952699473,0.04,0.01,0.00183363554062303,"CTSG"
"36","ENSG00000140009",2.41271534528295e-33,3.19522853442771,0.223,0.068,7.13608817674337e-29,"ESR2"
"37","ENSG00000153162",9.77514317047454e-34,3.19049988320989,0.317,0.127,2.89119409553126e-29,"BMP6"
"38","ENSG00000160685",2.13632458359573e-27,3.18183710179705,0.135,0.028,6.31860722090109e-23,"ZBTB7B"
"39","ENSG00000076555",7.36510188523519e-18,3.16345119855565,0.134,0.044,2.17837618459601e-13,"ACACB"
"40","ENSG00000068137",1.06579105216395e-10,3.16048490319998,0.079,0.027,3.15229019498533e-06,"PLEKHH3"
"41","ENSG00000198695",1.20870679145665e-23,3.09127870721396,0.542,0.412,3.57499207709133e-19,"ND6"
"42","ENSG00000236366",3.57432387622269e-09,3.02360707137728,0.039,0.007,0.000105717777287039,"LOC153910"
"43","ENSG00000197182",4.0896480231947e-10,3.02287832386443,0.059,0.016,1.20959519582029e-05,"MIRLET7BHG"
"44","ENSG00000197182",4.0896480231947e-10,3.02287832386443,0.059,0.016,1.20959519582029e-05,"LOC124905135"
"45","ENSG00000138035",1.19879013516024e-07,3.01651111549617,0.101,0.048,0.00354566158276345,"PNPT1"
"46","ENSG00000213339",3.46751647837516e-09,2.99688413345277,0.137,0.067,0.000102558734880902,"QTRT1"
"47","ENSG00000275395",1.0488080930259e-10,2.8517889414857,0.208,0.113,3.10205969674272e-06,"FCGBP"
"48","ENSG00000090470",9.89347251178414e-10,2.76589683922682,0.109,0.047,2.9261923648104e-05,"PDCD7"
"49","ENSG00000171992",6.61552185761723e-08,2.70462132359186,0.091,0.041,0.00195667289982745,"SYNPO"
"50","ENSG00000133401",8.89874616780306e-09,2.56617238216486,0.09,0.038,0.000263198215405111,"PDZD2"
"51","ENSG00000205659",4.85937050188166e-13,2.43766411093457,0.183,0.089,1.43725601334154e-08,"LIN52"
"52","ENSG00000117281",3.32468627719475e-08,2.29188538036632,0.069,0.026,0.000983342460205891,"CD160"
"53","ENSG00000078053",1.49766637900147e-11,2.23647922803888,0.072,0.021,4.42964784917265e-07,"AMPH"
"54","ENSG00000085433",3.32190388031453e-08,2.1700137763492,0.072,0.028,0.000982519510680628,"WDR47"
